ER30001,ER30002,CP_FLAG,CDS97KID,CDS02KID,CDS07KID,TA05KID,TA05_RESP,TA05_PSID,TA07KID,TA07_RESP,TA07_PSID,TA09KID,TA09_RESP,TA09_PSID,TA11KID,TA11_RESP,TA11_PSID,PCGID_97,PCGPN_97,PCG97_REL,OCGID_97,OCGPN_97,OCG97_REL,PCGID_02,PCGPN_02,PCG02_REL,OCGID_02,OCGPN_02,OCG02_REL,PCGID_07,PCGPN_07,PCG07_REL,OCGID_07,OCGPN_07,OCG07_REL
6287,42,1,1,1,1,,,,,,,1,3,3677,1,1,2893,6287,33,1,,,,6287,33,1,,,,6287,33,1,6287,182,
6287,43,1,1,1,1,,,,,,,,,,1,3,1104,6287,33,1,,,,6287,33,1,,,,6287,33,1,6287,182,
6287,44,1,1,1,,,,,,,,,,,,,,6287,32,1,,,,6287,32,1,,,,,,,,,
6316,31,1,1,1,,,,,1,3,3165,1,3,5361,1,3,7880,6316,4,1,,,,6316,4,1,,,,,,,,,
6316,32,1,1,,1,,,,,,,1,3,7716,1,3,7840,6316,6,1,6316,173,2,,,,,,,6316,6,1,6316,173,2
6316,33,1,1,,1,,,,,,,,,,,,,6316,6,1,6316,173,2,,,,,,,6316,6,1,6316,173,2
6316,172,1,1,,,,,,,,,,,,,,,6316,176,,6316,5,2,,,,,,,,,,,,
6327,171,1,1,1,,,,,,,,,,,,,,6327,4,1,6327,170,2,6327,4,1,6327,170,2,,,,,,
6327,172,1,1,1,1,,,,,,,1,3,458,1,3,6008,6327,4,1,6327,170,2,6327,4,1,6327,170,2,6327,4,1,6327,170,2
6335,35,1,1,1,1,,,,,,,,,,,,,6335,4,1,,,,6335,4,1,6335,32,,6335,4,1,,,
6335,36,1,1,1,1,,,,,,,,,,,,,6335,4,1,,,,6335,4,1,6335,32,,6335,4,1,,,
6335,37,1,1,1,1,,,,,,,,,,,,,6335,31,1,6335,6,3,6335,31,1,,,,6335,31,1,6335,180,
6335,38,1,1,1,1,,,,,,,,,,,,,6335,6,1,,,,6335,6,1,,,,6335,6,1,,,
6342,170,1,1,1,,,,,,,,,,,,,,6342,2,1,,,,6342,2,1,,,,,,,,,
6350,32,1,1,,,1,3,6723,1,1,7103,1,1,4711,1,1,4987,6350,7,1,,,,,,,,,,,,,,,
6350,33,1,1,1,,1,3,2737,,,,1,3,7077,1,3,5406,6350,3,1,6350,170,2,6350,3,1,6350,170,2,,,,,,
6350,34,1,1,1,,,,,,,,,,,,,,6350,171,1,6350,6,2,6350,171,1,6350,6,2,,,,,,
6350,35,1,1,1,1,,,,,,,,,,,,,6350,7,1,,,,6350,7,1,6350,174,2,6350,7,1,6350,174,2
6357,34,1,1,1,,1,3,1310,,,,1,1,7167,,,,6357,3,1,6357,2,3,6357,3,1,6357,182,,,,,,,
