ER30001,ER30002,CP_FLAG,CDS97KID,CDS02KID,CDS07KID,TA05KID,TA05_RESP,TA05_PSID,TA07KID,TA07_RESP,TA07_PSID,TA09KID,TA09_RESP,TA09_PSID,TA11KID,TA11_RESP,TA11_PSID,PCGID_97,PCGPN_97,PCG97_REL,OCGID_97,OCGPN_97,OCG97_REL,PCGID_02,PCGPN_02,PCG02_REL,OCGID_02,OCGPN_02,OCG02_REL,PCGID_07,PCGPN_07,PCG07_REL,OCGID_07,OCGPN_07,OCG07_REL
1062,31,1,1,,,1,3,1377,1,1,5642,1,1,1508,1,1,688,1062,4,1,1062,170,2,,,,,,,,,,,,
1066,32,1,1,1,,1,3,1570,1,1,3226,1,1,2033,1,1,7310,1066,3,1,1066,171,2,1066,3,1,1066,171,2,,,,,,
1066,33,1,1,1,,1,3,2143,1,2,1624,1,1,1099,1,2,1065,1066,30,1,1066,172,2,1066,30,1,1066,172,2,,,,,,
1066,34,1,1,1,,,,,1,3,1105,1,3,2093,1,3,1049,1066,3,1,1066,171,2,1066,3,1,1066,171,2,,,,,,
1066,35,1,1,1,1,,,,,,,1,3,1485,1,3,45,1066,30,1,1066,172,2,1066,30,1,1066,172,2,1066,30,1,1066,172,2
1068,32,1,1,1,1,,,,,,,,,,1,3,1831,1068,30,1,1068,177,2,1068,30,1,1068,177,2,1068,30,1,1068,177,2
1072,31,1,1,1,,,,,1,3,1058,1,3,3941,1,1,5033,1072,170,1,1072,3,2,1072,170,1,1072,3,2,,,,,,
1072,32,1,1,1,,,,,,,,1,3,3941,1,2,5497,1072,170,1,1072,3,2,1072,170,1,1072,3,2,,,,,,
1077,31,1,1,1,,1,3,7387,1,3,1851,1,1,4264,1,1,1216,1077,3,1,1077,170,2,1077,3,1,1077,170,2,,,,,,
1077,32,1,1,1,,1,3,7387,1,3,1851,1,1,3998,1,1,1434,1077,3,1,1077,170,2,1077,3,1,1077,170,2,,,,,,
1084,32,1,1,1,,1,3,4438,1,3,2415,1,3,355,,,,1084,4,1,1084,173,2,1084,4,1,,,,,,,,,
1084,33,1,1,,,,,,,,,,,,,,,1084,5,1,1084,172,2,,,,,,,,,,,,
1084,35,1,1,,1,,,,,,,,,,,,,1084,175,1,1084,7,2,,,,,,,1084,175,1,1084,7,2
1088,37,1,1,1,1,,,,,,,,,,,,,1088,178,1,1088,31,2,1088,178,1,,,,1088,178,1,,,
1088,38,1,1,1,1,,,,,,,,,,,,,1088,178,1,1088,31,2,1088,178,1,,,,1088,178,1,,,
1090,32,1,1,,,,,,,,,,,,,,,1090,4,1,1090,170,2,,,,,,,,,,,,
1090,173,1,1,,,,,,,,,,,,,,,1090,171,1,1090,3,,,,,,,,,,,,,
1092,32,1,1,1,,,,,1,3,3415,1,3,7153,,,,1092,3,1,1092,170,2,1092,3,1,1092,170,2,,,,,,
1092,33,1,1,,,,,,,,,,,,,,,1092,4,1,1092,171,2,,,,,,,,,,,,
1092,34,1,1,1,1,,,,,,,,,,,,,1092,3,1,1092,170,2,1092,3,1,1092,170,2,1092,3,1,1092,170,2
1092,35,1,1,,,,,,,,,,,,,,,1092,4,1,1092,171,2,,,,,,,,,,,,
1093,31,1,1,1,,,,,1,3,3731,1,3,2331,1,2,7000,1093,3,1,1093,170,2,1093,3,1,1093,170,2,,,,,,
1093,32,1,1,,,,,,,,,,,,,,,1093,30,1,1093,171,2,,,,,,,,,,,,
1093,33,1,1,,,,,,,,,,,,,,,1093,30,1,1093,171,2,,,,,,,,,,,,
1093,34,1,1,1,1,,,,,,,,,,1,3,6640,1093,3,1,1093,170,2,1093,3,1,1093,170,2,1093,3,1,1093,170,2
1096,33,1,1,1,1,,,,,,,,,,,,,1096,174,1,1096,5,3,1096,174,1,,,,1096,174,1,,,
1098,32,1,1,1,1,,,,,,,,,,,,,1098,30,1,1098,175,2,1098,30,1,1098,175,2,1098,175,2,,,
1098,33,1,1,1,1,,,,,,,,,,,,,1098,30,1,1098,175,2,1098,30,1,1098,175,2,1098,175,2,,,
1100,31,1,1,,,,,,,,,,,,,,,1100,4,1,1100,173,,,,,,,,,,,,,
1100,32,1,1,1,1,,,,,,,,,,1,3,6291,1100,4,1,1100,173,,1100,4,1,,,,1100,4,1,,,
1100,34,1,1,1,1,,,,,,,,,,,,,1100,3,1,1100,170,2,1100,3,1,1100,170,2,1100,3,1,1100,170,2
1107,34,1,1,1,1,,,,,,,1,3,3264,1,3,729,1107,175,1,1107,7,2,1107,175,1,1107,7,2,1107,175,1,1107,7,2
1107,35,1,1,1,1,,,,,,,1,3,3264,1,3,729,1107,175,1,1107,7,2,1107,175,1,1107,7,2,1107,175,1,1107,7,2
1109,30,1,1,,,,,,,,,,,,,,,1109,176,1,1109,177,,,,,,,,,,,,,
1121,31,1,1,1,,,,,1,3,4979,1,3,660,1,3,5860,1121,174,1,1121,3,2,1121,3,2,1121,176,,,,,,,
1121,33,1,1,1,1,,,,,,,,,,1,3,72,1121,175,1,1121,30,2,1121,175,1,1121,30,2,1121,175,1,1121,30,2
1121,34,1,1,1,1,,,,,,,,,,1,3,5860,1121,174,1,1121,3,2,1121,174,1,,,,1121,174,1,,,
1125,31,1,1,,,,,,1,3,1398,1,1,3963,1,2,539,1125,172,1,1125,3,2,,,,,,,,,,,,
1125,32,1,1,,1,,,,,,,1,3,253,1,3,1278,1125,172,1,1125,3,2,,,,,,,1125,172,1,1125,3,2
1126,35,1,1,1,1,,,,,,,,,,1,3,7109,1126,30,1,1126,174,2,1126,30,1,1126,174,2,1126,30,1,1126,174,2
1126,36,1,1,1,1,,,,,,,,,,,,,1126,30,1,1126,174,2,1126,30,1,1126,174,2,1126,30,1,1126,174,2
1127,30,1,1,1,1,,,,,,,,,,,,,1127,172,1,1127,175,2,1127,172,1,,,,1127,172,1,1127,175,2
1129,39,1,1,1,,1,1,6466,1,1,7342,1,2,7885,1,2,355,1129,175,,,,,1129,175,,,,,,,,,,
1129,187,1,1,,,,,,,,,,,,,,,1129,32,1,,,,,,,,,,,,,,,
1129,189,1,1,1,1,,,,,,,1,3,7869,1,3,456,1129,175,2,,,,1129,175,2,,,,1129,201,,1129,175,2
1129,197,1,1,,,,,,,,,,,,,,,1129,184,1,,,,,,,,,,,,,,,
1131,32,1,1,1,1,,,,,,,1,3,3547,1,3,123,1131,173,1,1131,30,2,1131,173,1,,,,1131,173,1,1131,176,
1131,34,1,1,1,1,,,,,,,,,,,,,1131,173,1,1131,30,2,1131,173,1,,,,1131,173,1,1131,176,
1141,34,1,1,,,1,3,804,1,3,2893,1,3,1388,1,1,5484,1141,3,1,1141,170,2,,,,,,,,,,,,
1141,35,1,1,1,,1,3,4846,1,3,4326,1,1,8224,1,1,6962,1141,171,1,,,,1141,171,1,,,,,,,,,
1141,36,1,1,,,,,,,,,,,,1,3,5469,1141,173,1,1141,6,2,,,,,,,,,,,,
1141,37,1,1,1,1,,,,,,,,,,,,,1141,178,1,1141,30,2,,,,,,,1141,2,5,1141,1,6
1141,175,1,1,,,,,,,,,1,1,8235,,,,1141,173,1,1141,6,2,,,,,,,,,,,,
1141,179,1,1,1,1,,,,,,,,,,,,,1141,178,1,1141,30,2,1141,2,5,1141,30,2,1141,2,5,1141,1,6
1142,31,1,1,1,1,,,,,,,1,3,5105,1,3,4266,1142,3,1,1142,170,2,1142,3,1,1142,170,2,1142,3,1,1142,170,2
1142,32,1,1,1,1,,,,,,,1,3,5105,1,3,4266,1142,3,1,1142,170,2,1142,3,1,1142,170,2,1142,3,1,1142,170,2
1142,33,1,1,1,1,,,,,,,,,,,,,1142,171,1,1142,30,2,1142,171,1,1142,174,,1142,171,1,1142,174,
1142,34,1,1,1,1,,,,,,,,,,,,,1142,171,1,1142,30,2,1142,171,1,1142,174,,1142,171,1,1142,174,
1144,36,1,1,1,1,,,,,,,,,,,,,1144,174,1,1144,32,2,1144,174,1,1144,32,2,1144,174,1,1144,32,2
1144,37,1,1,,,,,,,,,,,,,,,1144,175,1,1144,30,2,,,,,,,,,,,,
1149,30,1,1,1,,,,,1,3,3405,1,3,2089,1,3,926,1149,170,1,1149,4,2,1149,170,1,1149,4,2,,,,,,
1150,171,1,1,,,1,3,1891,1,1,3327,1,1,2928,1,1,505,1150,3,1,1150,170,2,,,,,,,,,,,,
1150,172,1,1,1,,1,3,1891,1,3,2526,1,3,1016,1,1,7639,1150,3,1,1150,170,2,1150,170,2,,,,,,,,,
1151,34,1,1,,,1,3,632,1,3,2186,1,3,73,1,3,140,1151,21,1,1151,170,2,,,,,,,,,,,,
1151,36,1,1,,,,,,,,,,,,,,,1151,6,1,1151,172,2,,,,,,,,,,,,
1151,37,1,1,1,,,,,,,,1,3,2535,1,3,935,1151,173,1,1151,4,2,1151,173,1,1151,4,2,,,,,,
1151,38,1,1,,,,,,,,,,,,,,,1151,6,1,1151,172,2,,,,,,,,,,,,
1151,39,1,1,1,,,,,,,,,,,1,3,935,1151,173,1,1151,4,2,1151,173,1,1151,4,2,,,,,,
1152,38,1,1,1,1,,,,,,,,,,1,3,1299,1152,176,1,1152,35,2,1152,176,1,1152,35,2,1152,176,1,1152,35,2
1154,30,1,1,1,,1,3,414,1,1,1810,,,,1,1,3127,1154,179,2,,,,1154,179,2,1154,181,,,,,,,
1161,30,1,1,1,1,,,,,,,,,,,,,1161,171,1,1161,4,2,1161,171,1,1161,4,2,1161,171,1,1161,4,2
1163,36,1,1,1,,1,3,2034,1,3,3143,1,3,148,1,1,2324,1163,4,1,1163,170,2,1163,4,1,1163,170,2,,,,,,
1163,37,1,1,1,,1,3,5122,1,3,7183,1,1,5514,1,1,3522,1163,171,1,1163,6,2,1163,171,1,1163,6,2,,,,,,
1163,38,1,1,1,,1,3,5122,1,3,7183,1,2,6345,1,2,6494,1163,171,1,1163,6,2,1163,171,1,1163,6,2,,,,,,
1163,39,1,1,1,,1,3,3746,1,3,1000,1,1,5292,1,1,775,1163,173,1,1163,5,2,1163,173,1,1163,5,2,,,,,,
1163,40,1,1,1,,,,,1,3,6220,1,3,1798,1,3,559,1163,174,1,1163,7,2,1163,174,1,1163,7,2,,,,,,
1163,41,1,1,1,,,,,,,,1,3,1798,1,3,559,1163,174,1,1163,7,2,1163,174,1,1163,7,2,,,,,,
1163,42,1,1,1,1,,,,,,,1,3,535,1,3,475,1163,172,1,1163,3,2,1163,172,1,1163,3,2,1163,172,1,1163,3,2
1163,43,1,1,1,1,,,,,,,1,3,788,1,3,548,1163,173,1,1163,5,2,1163,173,1,1163,5,2,1163,173,1,1163,5,2
1163,45,1,1,1,1,,,,,,,,,,,,,1163,175,1,1163,30,2,1163,175,1,1163,30,2,1163,175,1,1163,30,2
1164,33,1,1,1,,,,,1,3,2771,1,3,2450,1,2,5034,1164,173,1,1164,3,2,1164,173,1,1164,3,2,,,,,,
1166,37,1,1,1,,1,1,2269,1,2,4472,1,2,7798,1,2,7389,1166,180,1,1166,9,2,1166,180,1,1166,9,2,,,,,,
1167,41,1,1,1,,,,,,,,,,,1,3,3585,1167,32,1,,,,1167,32,1,,,,,,,,,
1167,42,1,1,1,1,,,,,,,1,3,843,1,1,5524,1167,33,1,1167,178,2,1167,33,1,1167,178,2,1167,33,1,,,
1167,43,1,1,1,1,,,,,,,,,,1,3,3585,1167,32,1,,,,1167,32,1,,,,1167,32,1,,,
1167,44,1,1,1,1,,,,,,,,,,1,3,1201,1167,30,1,,,,1167,30,1,,,,1167,30,1,,,
1167,45,1,1,1,1,,,,,,,,,,1,1,1999,1167,30,1,,,,1167,30,1,,,,1167,30,1,,,
1167,46,1,1,1,1,,,,,,,,,,1,3,1409,1167,33,1,1167,178,2,1167,33,1,1167,178,2,1167,33,1,,,
1168,35,1,1,1,,1,3,4611,1,3,86,1,3,286,1,1,3799,1168,3,1,,,,1168,3,1,,,,,,,,,
1168,36,1,1,1,,1,3,4611,1,3,86,,,,1,2,2362,1168,3,1,,,,1168,3,1,,,,,,,,,
1168,37,1,1,1,1,,,,,,,1,3,944,1,3,953,1168,8,1,,,,1168,8,1,,,,1168,8,1,,,
1168,174,1,1,1,,1,1,6233,1,1,1069,1,1,605,1,1,818,1168,31,1,,,,1168,31,1,,,,,,,,,
1168,175,1,1,1,,,,,1,3,846,1,3,463,1,1,1624,1168,31,1,,,,1168,31,1,,,,,,,,,
1169,30,1,1,1,,,,,1,2,2004,,,,,,,1169,3,,1169,176,,1169,3,,1169,176,,,,,,,
1169,31,1,1,1,,,,,1,3,400,1,3,5234,1,3,3495,1169,3,,1169,176,,1169,3,,1169,176,,,,,,,
1178,176,1,1,,,1,3,4693,1,3,6014,,,,1,1,7575,1178,175,1,1178,5,2,,,,,,,,,,,,
1178,177,1,1,1,,,,,,,,,,,1,3,7152,1178,175,1,1178,5,2,1178,175,1,1178,5,2,,,,,,
1179,33,1,1,,,,,,,,,,,,,,,1179,30,1,1179,172,2,,,,,,,,,,,,
1184,39,1,1,1,,1,3,2724,1,3,1424,1,1,4924,1,1,4407,1184,174,1,1184,7,2,1184,174,1,1184,7,2,,,,,,
1184,40,1,1,1,,1,3,990,1,3,3435,1,3,2965,1,3,3613,1184,171,1,1184,6,2,1184,171,1,1184,6,2,,,,,,
1184,41,1,1,1,,,,,1,3,1424,1,3,2098,1,3,4261,1184,174,1,1184,7,2,1184,174,1,1184,7,2,,,,,,
1184,43,1,1,,1,,,,,,,,,,,,,1184,33,1,,,,,,,,,,1184,33,1,,,
1185,32,1,1,1,1,,,,,,,,,,1,3,2390,1185,177,,1185,5,2,1185,5,2,1185,177,,1185,173,1,1185,175,
1185,34,1,1,1,1,,,,,,,,,,,,,1185,177,1,1185,5,2,1185,5,2,1185,177,1,1185,5,2,1185,179,
1192,33,1,1,1,,1,3,1957,,,,1,3,4033,1,1,7907,1192,3,1,1192,171,2,1192,3,1,1192,171,2,,,,,,
1192,34,1,1,1,,1,3,6361,,,,1,3,3431,,,,1192,5,1,1192,172,2,1192,5,1,1192,172,2,,,,,,
1192,35,1,1,1,,1,3,1957,1,3,6986,1,3,4033,1,1,8154,1192,3,1,1192,171,2,1192,3,1,1192,171,2,,,,,,
1200,34,1,1,,,,,,,,,,,,,,,1200,4,1,1200,172,2,,,,,,,,,,,,
1210,31,1,1,1,,,,,1,3,2976,,,,,,,1210,171,1,1210,173,,1210,171,1,1210,173,,,,,,,
1213,31,1,1,1,1,,,,,,,,,,1,3,2396,1213,4,1,,,,1213,4,1,1213,177,,1213,4,1,1213,177,
1220,30,1,1,1,,1,3,4179,1,3,2960,1,3,7539,,,,1220,171,1,1220,4,2,1220,171,1,1220,1,6,,,,,,
1220,31,1,1,1,,,,,1,3,2960,1,3,7539,1,3,8644,1220,171,1,1220,4,2,1220,171,1,1220,1,6,,,,,,
1221,31,1,1,1,,1,3,5446,1,3,2727,1,3,1932,1,1,8470,1221,173,,1221,4,2,1221,4,2,1221,173,,,,,,,
1221,32,1,1,1,,,,,1,3,2727,1,3,1932,1,3,8350,1221,173,,1221,4,2,1221,4,2,1221,173,,,,,,,
1221,33,1,1,1,,,,,,,,,,,,,,1221,170,1,1221,3,2,1221,170,1,1221,3,2,,,,,,
1221,34,1,1,1,,,,,,,,,,,,,,1221,170,1,1221,3,2,1221,170,1,1221,3,2,,,,,,
1221,35,1,1,1,1,,,,,,,,,,1,3,5481,1221,5,2,1221,172,1,1221,172,1,,,,1221,172,1,,,
1221,36,1,1,1,1,,,,,,,,,,,,,1221,5,2,1221,172,1,1221,172,1,,,,1221,172,1,,,
1222,34,1,1,1,,,,,1,3,1324,1,3,3533,1,1,1987,1222,4,1,1222,174,2,1222,4,1,1222,174,2,,,,,,
1222,35,1,1,1,,,,,1,3,2137,1,3,2062,1,3,44,1222,5,1,1222,178,2,1222,5,1,1222,199,,,,,,,
1222,185,1,1,1,,,,,1,3,1324,1,3,3533,1,3,870,1222,4,,1222,174,,1222,4,,1222,174,,,,,,,
1222,189,1,1,1,,1,3,6289,1,3,1343,1,1,5529,1,1,3198,1222,3,1,1222,186,2,1222,3,1,1222,186,2,,,,,,
1225,31,1,1,1,,,,,1,1,6893,1,1,2185,1,2,8503,1225,170,1,,,,1225,170,1,,,,,,,,,
1227,34,1,1,1,,1,3,1643,1,3,5863,1,3,5049,1,3,6246,1227,180,1,1227,22,2,1227,180,1,1227,22,2,,,,,,
1227,35,1,1,1,1,,,,,,,,,,,,,1227,193,1,1227,2,2,1227,193,1,1227,2,2,1227,193,1,1227,2,2
1227,195,1,1,,,,,,,,,,,,,,,1227,194,1,1227,193,3,,,,,,,,,,,,
1230,31,1,1,1,1,,,,,,,,,,,,,1230,30,1,1230,171,2,1230,30,1,1230,171,2,1230,30,1,1230,171,2
1233,34,1,1,1,1,,,,,,,,,,1,3,2256,1233,30,1,1233,173,2,1233,30,1,1233,173,2,1233,30,1,1233,173,2
1233,35,1,1,1,1,,,,,,,,,,,,,1233,30,1,1233,173,2,1233,30,1,1233,173,2,1233,30,1,1233,173,2
1236,31,1,1,1,,1,3,3656,1,3,6433,1,3,6220,1,1,4727,1236,170,1,,,,1236,170,1,,,,,,,,,
1236,32,1,1,1,1,,,,,,,,,,,,,1236,172,1,1236,4,2,1236,172,1,1236,4,2,1236,172,1,1236,4,2
1241,35,1,1,,1,,,,,,,,,,,,,1241,33,1,1241,2,3,,,,,,,1241,33,1,1241,174,
1242,32,1,1,1,,1,3,3108,1,3,1972,1,2,3828,1,2,1898,1242,171,1,1242,3,2,1242,171,1,1242,3,2,,,,,,
1242,33,1,1,1,,,,,1,3,774,1,3,1259,,,,1242,177,1,1242,5,2,1242,177,1,1242,5,2,,,,,,
1242,34,1,1,1,,,,,1,3,1884,1,3,1293,1,3,2348,1242,176,1,1242,4,2,1242,176,1,1242,4,2,,,,,,
1242,35,1,1,1,1,,,,,,,1,3,82,1,3,1911,1242,6,1,1242,178,2,1242,6,1,,,,1242,6,1,,,
1242,36,1,1,1,1,,,,,,,1,3,1293,1,3,2348,1242,176,1,1242,4,2,1242,176,1,1242,4,2,1242,176,1,1242,4,2
1242,38,1,1,1,1,,,,,,,,,,,,,1242,6,1,1242,178,2,1242,6,1,,,,1242,6,1,,,
1242,39,1,1,1,1,,,,,,,,,,,,,1242,177,1,1242,5,2,1242,177,1,1242,5,2,1242,177,1,1242,5,2
1254,30,1,1,1,,1,3,4318,1,1,3897,1,1,656,1,1,5431,1254,170,1,1254,173,,1254,170,1,,,,,,,,,
1258,30,1,1,1,1,,,,,,,1,3,2209,1,3,1451,1258,3,1,1258,170,2,1258,3,1,1258,170,2,1258,3,1,1258,170,2
1258,31,1,1,1,1,,,,,,,,,,1,3,1451,1258,3,1,1258,170,2,1258,3,1,1258,170,2,1258,3,1,1258,170,2
1258,32,1,1,1,1,,,,,,,,,,1,3,6561,1258,171,1,1258,5,2,1258,171,1,1258,175,,1258,171,1,1258,175,
1258,33,1,1,1,1,,,,,,,,,,,,,1258,172,1,1258,4,2,1258,172,1,1258,4,2,1258,172,1,1258,4,2
1258,34,1,1,1,1,,,,,,,,,,,,,1258,171,1,1258,5,2,1258,171,1,1258,175,,1258,171,1,1258,175,
1260,43,1,1,1,1,,,,,,,,,,,,,1260,39,1,1260,184,2,1260,39,1,1260,171,3,1260,39,1,,,
1266,30,1,1,,,1,1,4844,1,1,2020,1,1,3665,1,1,1259,1266,2,1,1266,173,2,,,,,,,,,,,,
1266,31,1,1,1,,1,3,3842,1,1,2934,1,1,4220,1,1,5360,1266,2,1,1266,173,2,1266,2,1,1266,173,2,,,,,,
1269,33,1,1,,,,,,,,,,,,,,,1269,171,1,1269,3,2,,,,,,,,,,,,
1274,32,1,1,,,1,3,4346,1,3,2250,1,3,4719,1,3,5519,1274,3,1,,,,,,,,,,,,,,,
1274,33,1,1,1,1,,,,,,,1,3,4719,1,3,5519,1274,3,1,,,,1274,3,1,1274,172,,1274,3,1,1274,172,
1281,34,1,1,1,,1,3,2952,1,3,3655,1,1,5366,1,1,4436,1281,172,1,1281,5,2,1281,5,2,1281,172,1,,,,,,
1281,35,1,1,1,,1,3,2945,1,3,2307,1,3,3740,1,1,5376,1281,4,2,1281,173,1,1281,173,1,1281,4,2,,,,,,
1281,36,1,1,1,,,,,1,3,2307,1,3,3740,1,3,4123,1281,4,2,1281,173,1,1281,173,1,1281,4,2,,,,,,
1284,31,1,1,1,,,,,,,,,,,1,3,7951,1284,170,1,1284,3,2,1284,170,1,1284,3,2,,,,,,
1284,32,1,1,1,,,,,,,,,,,,,,1284,170,1,1284,3,2,1284,170,1,1284,3,2,,,,,,
1285,30,1,1,1,,1,3,5880,1,3,3927,1,1,7101,1,1,5227,1285,5,1,1285,171,2,1285,5,1,1285,171,2,,,,,,
1285,31,1,1,1,,1,3,6738,1,3,7643,1,1,4095,1,2,4977,1285,4,1,1285,172,2,1285,4,1,1285,172,2,,,,,,
1285,32,1,1,1,,,,,1,3,3927,1,3,2336,1,1,6690,1285,5,1,1285,171,2,1285,5,1,1285,171,2,,,,,,
1285,33,1,1,1,1,,,,,,,1,3,894,,,,1285,4,1,1285,172,2,1285,4,1,1285,172,2,1285,4,1,1285,172,2
1286,32,1,1,1,,1,3,3078,1,1,7746,1,1,4114,1,1,6521,1286,4,1,1286,171,2,1286,4,1,1286,171,2,,,,,,
1286,33,1,1,,,,,,1,3,6384,1,3,1430,,,,1286,4,1,1286,171,2,,,,,,,,,,,,
1286,175,1,1,,,,,,,,,,,,,,,1286,173,1,1286,5,,,,,,,,,,,,,
1290,34,1,1,1,,1,3,54,1,3,6718,1,3,7712,1,3,417,1290,174,1,1290,21,2,1290,21,2,1290,174,1,,,,,,
1290,35,1,1,1,,,,,1,3,6718,1,3,7712,1,3,417,1290,174,1,1290,21,2,1290,21,2,1290,174,1,,,,,,
1292,32,1,1,1,,,,,,,,,,,,,,1292,4,1,1292,176,,1292,4,1,1292,176,,,,,,,
1298,31,1,1,1,,1,3,5195,1,3,6913,1,3,3734,1,1,8560,1298,5,1,1298,171,2,1298,5,1,1298,171,2,,,,,,
1298,32,1,1,1,,1,3,7187,,,,1,2,8281,1,2,7883,1298,172,1,,,,1298,172,1,1298,177,,,,,,,
1298,33,1,1,1,,1,3,5195,1,3,6913,1,3,3734,1,3,8426,1298,5,1,1298,171,2,1298,5,1,1298,171,2,,,,,,
1302,37,1,1,1,,1,3,4917,1,3,6195,1,3,398,1,1,2527,1302,3,2,1302,178,,1302,3,2,1302,178,,,,,,,
1303,32,1,1,1,1,,,,,,,1,3,3750,1,3,262,1303,173,1,1303,4,2,1303,173,1,1303,4,2,1303,4,2,,,
1303,33,1,1,1,1,,,,,,,,,,1,3,262,1303,173,1,1303,4,2,1303,173,1,1303,4,2,1303,4,2,,,
1306,31,1,1,1,,,,,,,,,,,,,,1306,170,1,1306,3,2,1306,3,2,1306,170,1,,,,,,
1315,32,1,1,1,,,,,1,3,5438,1,3,2654,1,1,3709,1315,4,1,1315,170,2,1315,4,1,1315,170,2,,,,,,
1315,33,1,1,1,1,,,,,,,1,3,2654,1,3,2639,1315,4,1,1315,170,2,1315,4,1,1315,170,2,1315,4,1,1315,170,2
1315,34,1,1,1,1,,,,,,,1,3,1515,1,3,47,1315,5,1,,,,1315,5,1,,,,1315,5,1,,,
1315,35,1,1,1,1,,,,,,,,,,1,3,47,1315,5,1,,,,1315,5,1,,,,1315,5,1,,,
1315,36,1,1,1,1,,,,,,,,,,1,3,1372,1315,30,1,1315,174,2,1315,30,1,1315,174,2,1315,30,1,1315,174,2
1315,39,1,1,1,1,,,,,,,,,,,,,1315,30,1,1315,174,2,1315,30,1,1315,174,2,1315,30,1,1315,174,2
1332,30,1,1,1,1,,,,,,,1,3,2373,1,3,4513,1332,174,1,1332,3,2,1332,174,1,,,,1332,174,1,1332,183,
1332,32,1,1,1,1,,,,,,,,,,1,3,4513,1332,174,1,1332,3,2,1332,174,1,,,,1332,174,1,1332,183,
1332,33,1,1,1,1,,,,,,,,,,,,,1332,180,1,1332,5,2,1332,180,1,,,,1332,180,1,1332,184,
1332,181,1,1,,,,,,,,,,,,,,,1332,180,1,,,,,,,,,,,,,,,
1335,47,1,1,,,1,3,1169,1,1,3725,1,1,269,1,1,2985,1335,175,1,1335,10,2,,,,,,,,,,,,
1335,48,1,1,1,,1,3,4277,1,3,2912,1,2,4054,1,1,3777,1335,174,1,1335,9,2,1335,174,1,1335,9,2,,,,,,
1335,52,1,1,,1,,,,,,,,,,1,3,5319,1335,175,1,1335,10,2,,,,,,,1335,175,1,1335,10,2
1335,53,1,1,1,1,,,,,,,,,,1,3,3320,1335,179,1,1335,31,2,1335,179,1,1335,31,2,1335,179,1,1335,31,2
1335,54,1,1,1,1,,,,,,,,,,,,,1335,179,1,1335,31,2,1591,171,,1335,31,2,1335,179,1,1335,31,2
1335,56,1,1,1,1,,,,,,,,,,,,,1335,183,1,1335,35,2,1335,183,1,1335,35,2,1335,35,2,,,
1336,33,1,1,,,,,,,,,,,,,,,1336,7,1,1336,175,2,,,,,,,,,,,,
1336,34,1,1,,,,,,,,,,,,,,,1336,7,1,1336,175,2,,,,,,,,,,,,
1336,35,1,1,,,,,,,,,,,,,,,1336,30,1,,,,,,,,,,,,,,,
1342,31,1,1,1,,1,3,297,1,1,3875,1,1,701,1,1,3350,1342,170,1,1342,3,2,1342,170,1,1342,3,2,,,,,,
1345,34,1,1,1,,,,,1,3,746,1,3,1466,1,1,5906,1345,6,1,1345,178,,1345,6,1,1345,178,,,,,,,
1345,35,1,1,1,,,,,,,,,,,,,,1345,4,1,1345,175,2,1345,4,1,1345,175,2,,,,,,
1351,35,1,1,1,1,,,,,,,1,3,3195,1,3,6393,1351,174,1,1351,3,2,1351,174,1,1351,3,2,1351,174,1,1351,3,2
1351,36,1,1,1,1,,,,,,,,,,1,3,6393,1351,174,1,1351,3,2,1351,174,1,1351,3,2,1351,174,1,1351,3,2
1355,174,1,1,1,,,,,1,1,4134,1,1,2045,1,1,670,1355,5,1,,,,1355,5,1,,,,,,,,,
1363,31,1,1,1,,,,,,,,,,,,,,1363,170,1,1363,3,2,1363,170,1,1363,3,2,,,,,,
1368,32,1,1,1,1,,,,,,,,,,,,,1368,1,5,,,,1368,172,1,1368,174,,1368,172,1,,,
1368,175,1,1,1,,,,,1,3,4954,1,3,6058,,,,1368,1,5,,,,1368,1,5,,,,,,,,,
1368,180,1,1,,,,,,,,,,,,,,,1368,179,1,,,,,,,,,,,,,,,
1376,32,1,1,1,,1,3,3089,1,1,4004,1,2,2691,1,2,1541,1376,170,1,1376,2,2,1376,170,1,,,,,,,,,
1383,35,1,1,,,,,,,,,,,,,,,1383,170,1,1383,177,,,,,,,,,,,,,
1383,36,1,1,,,,,,,,,,,,,,,1383,170,1,1383,177,,,,,,,,,,,,,
1383,37,1,1,1,1,,,,,,,,,,1,3,7485,1383,31,1,1383,174,2,1383,31,1,1383,174,2,1383,174,2,1383,31,1
1383,40,1,1,1,1,,,,,,,,,,,,,1383,31,1,1383,174,2,1383,31,1,1383,174,2,1383,174,2,1383,31,1
1394,35,1,1,1,,1,3,5046,1,1,5340,1,1,1217,,,,1394,33,1,,,,1394,33,1,,,,,,,,,
1394,36,1,1,1,,,,,1,3,4037,1,3,622,1,3,6213,1394,3,1,1394,173,2,1394,3,1,1394,173,2,,,,,,
1394,37,1,1,1,1,,,,,,,1,1,4322,1,2,5731,1394,33,1,,,,1394,33,1,,,,1394,33,1,,,
1394,38,1,1,1,1,,,,,,,,,,1,3,6213,1394,3,1,1394,173,2,1394,3,1,1394,173,2,1394,3,1,1394,173,2
1394,39,1,1,,,,,,,,,,,,,,,1394,32,1,1394,183,2,,,,,,,,,,,,
1397,33,1,1,1,,1,3,5830,1,3,3981,1,3,1807,1,3,2164,1397,171,1,1397,4,2,1397,171,1,1397,4,2,,,,,,
